date,daily_profit_usd,monthly_profit_usd,coin,hashrate,power_w,electricity_cost
2026-05-09,1.3,39.0,ETC,12.6Gh,3300,0.06
2026-05-10,1.3,39.0,ETC,12.6Gh,3300,0.06
2026-05-11,1.3,39.0,ETC,12.6Gh,3300,0.06
2026-05-12,1.88,56.4,ETC,12.6Gh,3300,0.06
2026-05-13,1.72,51.6,ETC,12.6Gh,3300,0.06
2026-05-14,1.22,36.6,ETC,12.6Gh,3300,0.06
2026-05-15,1.57,47.1,ETC,12.6Gh,3300,0.06
2026-05-16,1.4,42.0,ETC,12.6Gh,3300,0.06
2026-05-17,1.4,42.0,ETC,12.6Gh,3300,0.06
2026-05-18,1.4,42.0,ETC,12.6Gh,3300,0.06
2026-05-19,1.04,31.2,ETC,12.6Gh,3300,0.06
2026-05-20,1.06,31.8,ETC,12.6Gh,3300,0.06
2026-05-21,1.4,42.0,ETC,12.6Gh,3300,0.06
2026-05-22,1.47,44.1,ETC,12.6Gh,3300,0.06
2026-05-23,1.47,44.1,ETC,12.6Gh,3300,0.06
2026-05-24,1.47,44.1,ETC,12.6Gh,3300,0.06
2026-05-25,0.92,27.6,ETC,12.6Gh,3300,0.06
2026-05-26,0.98,29.4,ETC,12.6Gh,3300,0.06
2026-05-27,0.4,12.0,ETC,12.6Gh,3300,0.06
2026-05-28,0.65,19.5,ETC,12.6Gh,3300,0.06
2026-05-29,0.29,8.7,ETC,12.6Gh,3300,0.06
2026-05-30,0.29,8.7,ETC,12.6Gh,3300,0.06
2026-05-31,0.29,8.7,ETC,12.6Gh,3300,0.06
2026-06-01,0.22,6.6,ETC,12.6Gh,3300,0.06
2026-06-02,0.22,6.6,ETC,12.6Gh,3300,0.06
2026-06-03,0.37,11.1,ETC,12.6Gh,3300,0.06
2026-06-04,0.21,6.3,ETC,12.6Gh,3300,0.06
2026-07-10,0.54,16.2,ETC,12.6Gh,3300,0.06
2026-07-11,0.54,16.2,ETC,12.6Gh,3300,0.06
2026-07-12,0.54,16.2,ETC,12.6Gh,3300,0.06
